Signal Legend:

Key        Signal Name

0        = data_o
1        = AD7606:ad7606_state|channel_read
2        = AD7606:ad7606_state|cycle_cnt
3        = AD7606:ad7606_state|data_i
4        = adc_cva
5        = adc_cs
6        = adc_busy
7        = adc_rd
8        = led

Data Table:

Signals-> 0       1  2         3     4 5 6 7 8 

sample

-32       125034o 0h 00000869h 00E2h 1 1 0 1 1 
-31       125046o 1h 00000885h 00E2h 1 1 0 1 1 
-30       125036o 2h 00000881h 00E2h 1 1 0 1 1 
-29       125017o 3h 0000087Dh 00E2h 1 1 0 1 1 
-28       125062o 4h 00000879h 00E2h 1 1 0 1 1 
-27       125002o 5h 00000875h 00E2h 1 1 0 1 1 
-26       124776o 6h 00000871h 00E2h 1 1 0 1 1 
-25       125026o 7h 0000086Dh 00E2h 1 1 0 1 1 
-24       125032o 0h 00000869h 00E2h 1 1 0 1 1 
-23       125043o 1h 00000885h 00E2h 1 1 0 1 1 
-22       125032o 2h 00000881h 00E2h 1 1 0 1 1 
-21       125013o 3h 0000087Dh 00E2h 1 1 0 1 1 
-20       125057o 4h 00000879h 00E2h 1 1 0 1 1 
-19       124776o 5h 00000875h 00E2h 1 1 0 1 1 
-18       124773o 6h 00000871h 00E2h 1 1 0 1 1 
-17       125023o 7h 0000086Dh 00E2h 1 1 0 1 1 
-16       125026o 0h 00000869h 00E2h 1 1 0 1 1 
-15       125037o 1h 00000885h 00E2h 1 1 0 1 1 
-14       125026o 2h 00000881h 00E2h 1 1 0 1 1 
-13       125010o 3h 0000087Dh 00E2h 1 1 0 1 1 
-12       125052o 4h 00000879h 00E2h 1 1 0 1 1 
-11       124772o 5h 00000875h 00E2h 1 1 0 1 1 
-10       124767o 6h 00000871h 00E2h 1 1 0 1 1 
-9        125016o 7h 0000086Dh 00E2h 1 1 0 1 1 
-8        125022o 0h 00000869h 00E2h 1 1 0 1 1 
-7        125035o 1h 00000885h 00E2h 1 1 0 1 1 
-6        125024o 2h 00000881h 00E2h 1 1 0 1 1 
-5        125006o 3h 0000087Dh 00E2h 1 1 0 1 1 
-4        125051o 4h 00000879h 00E2h 1 1 0 1 1 
-3        124771o 5h 00000875h 00E2h 1 1 0 1 1 
-2        124766o 6h 00000871h 00E2h 1 1 0 1 1 
-1        125016o 7h 0000086Dh 00E2h 1 1 0 1 1 
0         125021o 0h 00000869h 00E2h 1 1 0 1 1 
1         125040o 1h 00000884h 00E2h 1 1 0 1 1 
2         125027o 2h 00000880h 00E2h 1 1 0 1 1 
3         125012o 3h 0000087Ch 00E2h 1 1 0 1 1 
4         125054o 4h 00000878h 00E2h 1 1 0 1 1 
5         124774o 5h 00000874h 00E2h 1 1 0 1 1 
6         124771o 6h 00000870h 00E2h 1 1 0 1 1 
7         125021o 7h 0000086Ch 00E2h 1 1 0 1 1 
8         125023o 0h 00000868h 00E2h 1 1 0 1 1 
9         125040o 1h 00000884h 00E2h 1 1 0 1 1 
10        125030o 2h 00000880h 00E2h 1 1 0 1 1 
11        125011o 3h 0000087Ch 00E2h 1 1 0 1 1 
12        125055o 4h 00000878h 00E2h 1 1 0 1 1 
13        124774o 5h 00000874h 00E2h 1 1 0 1 1 
14        124771o 6h 00000870h 00E2h 1 1 0 1 1 
15        125021o 7h 0000086Ch 00E2h 1 1 0 1 1 
16        125023o 0h 00000868h 00E2h 1 1 0 1 1 
17        125040o 1h 00000884h 00E2h 1 1 0 1 1 
18        125027o 2h 00000880h 00E2h 1 1 0 1 1 
19        125012o 3h 0000087Ch 00E2h 1 1 0 1 1 
20        125054o 4h 00000878h 00E2h 1 1 0 1 1 
21        124774o 5h 00000874h 00E2h 1 1 0 1 1 
